,workclass,education,marital.status,occupation,relationship,race,sex,hours.per.week,native.country,income,capital.diff,age.group
0,Private,HS-grad,Widowed,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K,-4356,66-90
1,Private,HS-grad,Widowed,Exec-managerial,Not-in-family,White,Female,18,United-States,<=50K,-4356,66-90
2,Private,Some-college,Widowed,Prof-specialty,Unmarried,Black,Female,40,United-States,<=50K,-4356,66-90
3,Private,7th-8th,Divorced,Machine-op-inspct,Unmarried,White,Female,40,United-States,<=50K,-3900,46-55
4,Private,Some-college,Separated,Prof-specialty,Own-child,White,Female,40,United-States,<=50K,-3900,36-45
5,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,45,United-States,<=50K,-3770,26-35
6,Private,10th,Separated,Adm-clerical,Unmarried,White,Male,40,United-States,<=50K,-3770,36-45
7,State-gov,Doctorate,Never-married,Prof-specialty,Other-relative,White,Female,20,United-States,>50K,-3683,66-90
8,Federal-gov,HS-grad,Divorced,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K,-3683,66-90
9,Private,Some-college,Never-married,Craft-repair,Unmarried,White,Male,60,United-States,>50K,-3004,36-45
10,Private,Doctorate,Divorced,Prof-specialty,Unmarried,Black,Female,35,United-States,>50K,-3004,36-45
11,Self-emp-not-inc,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,45,United-States,>50K,-2824,36-45
12,Private,Bachelors,Widowed,Other-service,Not-in-family,White,Female,20,United-States,>50K,-2824,46-55
13,Private,Masters,Separated,Exec-managerial,Not-in-family,White,Male,55,United-States,>50K,-2824,26-35
14,Private,Doctorate,Never-married,Prof-specialty,Not-in-family,White,Male,40,United-States,>50K,-2824,46-55
15,Private,Prof-school,Divorced,Prof-specialty,Not-in-family,White,Male,40,United-States,>50K,-2824,46-55
16,Private,11th,Divorced,Transport-moving,Not-in-family,White,Male,76,United-States,>50K,-2824,36-45
17,Private,Masters,Divorced,Exec-managerial,Not-in-family,White,Male,50,United-States,>50K,-2824,56-65
18,Private,Assoc-acdm,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,United-States,>50K,-2824,17-25
19,Private,Bachelors,Separated,Sales,Not-in-family,White,Male,50,United-States,>50K,-2824,26-35
20,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,40,United-States,>50K,-2824,36-45
21,Private,11th,Separated,Sales,Not-in-family,White,Female,42,United-States,<=50K,-2754,26-35
22,Private,HS-grad,Divorced,Sales,Unmarried,White,Female,25,United-States,<=50K,-2754,56-65
23,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K,-2603,46-55
24,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,32,United-States,<=50K,-2603,56-65
25,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,-2603,17-25
26,Private,1st-4th,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,32,Mexico,<=50K,-2603,26-35
27,Private,5th-6th,Married-civ-spouse,Other-service,Husband,White,Male,40,Greece,<=50K,-2603,46-55
28,Self-emp-inc,10th,Never-married,Transport-moving,Not-in-family,White,Male,50,United-States,>50K,-2559,36-45
29,Private,10th,Never-married,Prof-specialty,Not-in-family,White,Male,90,United-States,>50K,-2559,36-45
30,Private,Some-college,Separated,Other-service,Not-in-family,White,Male,40,United-States,>50K,-2559,17-25
31,Self-emp-inc,10th,Widowed,Exec-managerial,Unmarried,White,Female,50,United-States,>50K,-2559,56-65
32,Private,Prof-school,Divorced,Exec-managerial,Not-in-family,White,Male,60,United-States,>50K,-2559,46-55
33,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,50,United-States,>50K,-2559,46-55
34,Self-emp-not-inc,HS-grad,Never-married,Exec-managerial,Not-in-family,Black,Male,50,United-States,>50K,-2559,56-65
35,Federal-gov,Doctorate,Divorced,Exec-managerial,Not-in-family,White,Female,60,United-States,>50K,-2559,56-65
36,Private,HS-grad,Never-married,Sales,Not-in-family,White,Male,48,United-States,>50K,-2559,46-55
37,Private,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,>50K,-2559,46-55
38,Self-emp-not-inc,Doctorate,Never-married,Prof-specialty,Not-in-family,White,Female,60,United-States,>50K,-2559,36-45
39,Private,Masters,Divorced,Prof-specialty,Not-in-family,White,Female,40,United-States,>50K,-2559,46-55
40,Private,Bachelors,Divorced,Exec-managerial,Unmarried,White,Male,50,United-States,>50K,-2547,36-45
41,Private,Masters,Divorced,Exec-managerial,Unmarried,White,Female,40,United-States,>50K,-2547,36-45
42,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,>50K,-2547,46-55
43,Private,Masters,Divorced,Prof-specialty,Unmarried,White,Female,40,United-States,>50K,-2547,36-45
44,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,15,United-States,<=50K,-2489,66-90
45,Private,Bachelors,Married-spouse-absent,Sales,Unmarried,White,Female,70,United-States,>50K,-2472,46-55
46,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,52,United-States,<=50K,-2467,66-90
47,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,40,Vietnam,<=50K,-2457,66-90
48,Private,Some-college,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,<=50K,-2457,66-90
